Puppy Price,Barking Tendencies,Name,Health Issues,Hypoallergenic,Litter Size,Cat Friendly,Exercise Needs,Grooming,Shedding Level,Size,Child Friendly,Watchdog Ability,Dog Friendly,Stranger Friendly,Other Names,Intelligence,Trainability,Breed_definition,Adaptability,Lifespan,Apartment Friendly,Playfulness
Average $1000 - $2000 USD,1 stars,Labrador Retriever,4 stars,No,6-8 puppies,4 stars,5 stars,2 stars,3 stars,Medium,5 stars,3 stars,5 stars,5 stars,"Labrador,Lab",5 stars,5 stars,Purebred,5 stars,10-13 years,5 stars,5 stars
Average $600 - $1000 USD,5 stars,Yorkshire Terrier,4 stars,Yes,4-6 puppies,4 stars,1 stars,5 stars,1 stars,Small,1 stars,4 stars,2 stars,3 stars,Yorkie,5 stars,3 stars,Purebred,5 stars,12-16 years,5 stars,3 stars
Average $1000 - $1500 USD,4 stars,Poodle (Standard),3 stars,Yes,3 puppies,4 stars,4 stars,5 stars,1 stars,Medium,5 stars,3 stars,4 stars,4 stars,"Pudle, Caniche, Barbone",5 stars,5 stars,Purebred,5 stars,10-13 years,5 stars,4 stars
Average $800 - $2000 USD,3 stars,German Shepherd,4 stars,No,4-9 puppies,3 stars,3 stars,2 stars,5 stars,Medium,5 stars,5 stars,2 stars,1 stars,"Alsatian (UK), Alsatian wolf dog (UK), Berger Allemand, Deutscher Schäferhund, Schäferhund",5 stars,5 stars,Purebred,5 stars,10-12 years,3 stars,3 stars
Average $1000 - $2000 USD,1 stars,Golden Retriever,4 stars,No,6-10 puppies,4 stars,5 stars,3 stars,3 stars,Medium,5 stars,3 stars,5 stars,5 stars,"Yellow Retriever, Golden Flat Coat",5 stars,5 stars,Purebred,5 stars,10-13 years,4 stars,5 stars
Average $2000 - $4000 USD,1 stars,French Bulldog,3 stars,No,3-5 puppies,2 stars,2 stars,2 stars,1 stars,Small,2 stars,3 stars,2 stars,4 stars,"Frenchie, Bouledogue Français",3 stars,3 stars,Purebred,5 stars,9-11 years,5 stars,2 stars
Average $1200 - $2000 USD,1 stars,Bulldog,5 stars,No,4-5 puppies,5 stars,1 stars,2 stars,3 stars,Medium,5 stars,3 stars,5 stars,5 stars,"English Bulldog, British Bulldog",3 stars,3 stars,Purebred,5 stars,8-10 years,5 stars,1 stars
Average $1200 - $2000 USD,1 stars,Rottweiler,3 stars,No,8-12 puppies,3 stars,3 stars,1 stars,1 stars,Medium,2 stars,5 stars,1 stars,1 stars,"Rottie, Rott",5 stars,5 stars,Purebred,3 stars,8-11 years,3 stars,3 stars
Average $500 - $800 USD,5 stars,Beagle,3 stars,No,"2-14 puppies, average 7",3 stars,5 stars,1 stars,3 stars,Small,5 stars,2 stars,5 stars,4 stars,English Beagle,3 stars,2 stars,Purebred,5 stars,12-15 years,2 stars,5 stars
Average $600 - $800 USD,2 stars,Australian Shepherd,3 stars,No,"6-9 puppies, average 7",3 stars,5 stars,3 stars,3 stars,Medium,5 stars,5 stars,3 stars,2 stars,"Aussie, Little Blue Dog",4 stars,5 stars,Purebred,5 stars,12-15 years,3 stars,5 stars
Average $800 - $1200 USD,2 stars,Great Dane,4 stars,No,10-15 puppies,3 stars,2 stars,1 stars,3 stars,Giant,4 stars,5 stars,3 stars,3 stars,"Dane, Gentle Giant, Deutsche Dogge, German Mastiff",4 stars,3 stars,Purebred,3 stars,6-8 years,5 stars,2 stars
Average $600 - $1000 USD,3 stars,Miniature Schnauzer,3 stars,Yes,3-5 puppies,3 stars,3 stars,4 stars,1 stars,Small,4 stars,5 stars,3 stars,3 stars,Zwergschnauzer,5 stars,5 stars,Purebred,5 stars,12-14 years,3 stars,3 stars
Average $800 - $1000 USD,2 stars,Doberman Pinscher,4 stars,No,6-10 puppies,3 stars,3 stars,2 stars,3 stars,Medium,3 stars,5 stars,2 stars,1 stars,"Dobie, Dobermann, Dobynm, Doberman",5 stars,5 stars,Purebred,5 stars,10-12 years,5 stars,3 stars
Average $500 - $700 USD,4 stars,Dachshund,3 stars,No,4-6 puppies,3 stars,3 stars,2 stars,3 stars,Small,2 stars,3 stars,2 stars,2 stars,"Teckel, Tekkel, Tekkel Doxie, Weenie Dog, Sausage Dog, Bassotto, Worshond",4 stars,2 stars,Purebred,5 stars,12-14 years,4 stars,3 stars
Average $700 - $1200 USD,2 stars,Siberian Husky,3 stars,No,6-8 puppies,1 stars,4 stars,3 stars,4 stars,Medium,4 stars,1 stars,5 stars,3 stars,"Chukcha, Chuksha, Husky, Icee, Sibe",4 stars,3 stars,Purebred,5 stars,12-14 years,2 stars,4 stars
Average $600 - $800 USD,2 stars,German Shorthaired Pointer,4 stars,No,7-12 puppies,1 stars,5 stars,1 stars,1 stars,Medium,4 stars,3 stars,4 stars,3 stars,"GSP, DK, Kurzhaar, Deutscher Kurzhaariger Vorstehhund, Deutsch Kurzhaar",5 stars,5 stars,Purebred,4 stars,12-14 years,1 stars,5 stars
Average $600 - $1000 USD,5 stars,Pembroke Welsh Corgi,3 stars,No,6-7 puppies,5 stars,4 stars,2 stars,5 stars,Small,5 stars,3 stars,3 stars,3 stars,"Pembroke, PWC, Pem, Corgi",5 stars,5 stars,Purebred,5 stars,12-14 years,5 stars,4 stars
Average $1200 - $1500 USD,3 stars,Cavalier King Charles Spaniel,4 stars,No,3-5 puppies,3 stars,3 stars,3 stars,3 stars,Small,5 stars,2 stars,5 stars,5 stars,"Cav, Cavalier, Cavie",4 stars,5 stars,Purebred,5 stars,10-14 years,5 stars,3 stars
Average $800 - $1200 USD,3 stars,Shih Tzu,3 stars,Yes,2-5 puppies,5 stars,2 stars,5 stars,1 stars,Small,2 stars,3 stars,5 stars,3 stars,"Chinese Lion Dog, Chrysanthemum Dog",3 stars,3 stars,Purebred,5 stars,11-14 years,5 stars,2 stars
Average $600 - $1200 USD,2 stars,Boxer,3 stars,No,6-8 puppies,3 stars,4 stars,1 stars,1 stars,Medium,4 stars,5 stars,2 stars,3 stars,"German Boxer, Deutscher Boxer",4 stars,3 stars,Purebred,4 stars,10-12 years,4 stars,4 stars
Average $900 - $1200 USD,2 stars,Havanese,3 stars,Yes,"1 - 9 puppies, average 4",5 stars,1 stars,3 stars,3 stars,Small,5 stars,3 stars,5 stars,4 stars,"Bichon Habanero, Havanese Cuban Bichon, Bichon Havanais, Bichon Havanês, Havaneser, Havanezer",2 stars,2 stars,Purebred,5 stars,14-15 years,5 stars,4 stars
Average $600 - $800 USD,2 stars,Boston Terrier,3 stars,No,3-5 puppies,5 stars,3 stars,1 stars,3 stars,Small,5 stars,3 stars,5 stars,4 stars,"Boston Bull, Boston Bull Terrier, Boxwood, American Gentlemen",4 stars,3 stars,Purebred,5 stars,11-15 years,5 stars,3 stars
Average $800 - $1000 USD,1 stars,Shetland Sheepdog,3 stars,No,4-6 puppies,5 stars,3 stars,5 stars,3 stars,medium,4 stars,4 stars,4 stars,2 stars,"Miniature Collie, Shetland Collie (obsolete), Dwarf Scotch Shepherd (obsolete), Toonie Dog (obsolete), Sheltie",5 stars,3 stars,Purebred,5 stars,12-14 years,2 stars,3 stars
Average $600 - $800 USD,4 stars,Pomeranian,3 stars,No,2-5 puppies,5 stars,2 stars,3 stars,3 stars,Small,4 stars,3 stars,3 stars,3 stars,"Pom, Pom Pom, Deutsche Spitze, Zwergspitz, Spitz Nain, Spitz Enano, Zwers",5 stars,4 stars,Purebred,5 stars,12-15 years,5 stars,4 stars
Average $600 - $800 USD,5 stars,Maltese,3 stars,Yes,3-5 puppies,5 stars,1 stars,3 stars,1 stars,Small,4 stars,3 stars,5 stars,5 stars,"Maltese Dog, Maltese lion dog",4 stars,2 stars,Purebred,5 stars,15-18 years,5 stars,3 stars
