OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,Lifespan,Adaptability,Size
Return_to_owner,Unknown,Dog,Neutered Male,365,Shetland Sheepdog,Brown/White,5110,5,Medium
Euthanasia,Suffering,Cat,Spayed Female,365,Domestic Shorthair,Cream Tabby,6205,5,Medium
Adoption,Foster,Dog,Neutered Male,730,Pit Bull,Blue/White,5475,3,Large
Transfer,Partner,Cat,Intact Male,21,Domestic Shorthair,Blue Cream,6205,5,Medium
Transfer,Partner,Dog,Neutered Male,730,Lhasa Apso,Tan,5475,5,Small
Transfer,Partner,Dog,Intact Female,30,Cairn Terrier,Black/Tan,5475,3,Small
Transfer,Partner,Cat,Intact Male,21,Domestic Shorthair,Blue Tabby,6205,5,Medium
Transfer,Partner,Cat,Unknown,21,Domestic Shorthair,Brown Tabby,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,150,Pit Bull,Red/White,5475,3,Large
Adoption,Offsite,Dog,Spayed Female,365,Cairn Terrier,White,5475,3,Small
Transfer,SCRP,Cat,Unknown,730,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,730,Miniature Schnauzer,Silver,5475,5,Small
Adoption,Foster,Dog,Neutered Male,1460,Pit Bull,Brown,5475,3,Large
Return_to_owner,Unknown,Dog,Neutered Male,730,Yorkshire Terrier,Black/Red,5840,5,Small
Return_to_owner,Unknown,Dog,Neutered Male,365,Great Pyrenees,White/Cream,4380,4,Giant
Adoption,Foster,Cat,Neutered Male,90,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Transfer,Partner,Cat,Intact Male,21,Domestic Shorthair,Brown Tabby,6205,5,Medium
Transfer,Partner,Dog,Intact Female,14,Pit Bull,Brown/White,5475,3,Large
Transfer,Partner,Cat,Intact Female,730,Angora,White,3650,3,Small to Medium
Return_to_owner,Unknown,Dog,Neutered Male,365,Flat Coat Retriever,Black,4745,5,Medium to Large
Transfer,Partner,Dog,Intact Male,60,Australian Cattle Dog,Black/White,5475,3,Medium
Transfer,Partner,Cat,Spayed Female,365,Domestic Shorthair,White,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,730,Plott Hound,Brown Brindle/White,5110,3,Medium
Adoption,Unknown,Dog,Neutered Male,30,German Shepherd,Brown/White,4380,5,Medium to Large
Return_to_owner,Unknown,Dog,Neutered Male,60,German Shepherd,Black/Brown,4380,5,Medium to Large
Transfer,Partner,Cat,Intact Female,30,Domestic Shorthair,Orange Tabby,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,180,American Staffordshire Terrier,Chocolate/White,5110,3,Medium
Adoption,Unknown,Dog,Spayed Female,1825,Chihuahua Shorthair,White/Tan,6570,5,Small
Adoption,Unknown,Cat,Spayed Female,60,Domestic Shorthair,Cream Tabby/White,6205,5,Medium
Return_to_owner,Unknown,Cat,Neutered Male,2555,Russian Blue,Blue,5840,3,Medium
Euthanasia,Suffering,Cat,Spayed Female,1095,Domestic Shorthair,Calico,6205,5,Medium
Transfer,Partner,Dog,Intact Male,120,Labrador Retriever,Black/White,4745,5,Medium
Adoption,Unknown,Cat,Spayed Female,60,Domestic Shorthair,Torbie,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,1825,Collie Smooth,Brown/Black,5475,4,Large
Transfer,Partner,Dog,Neutered Male,1095,Chihuahua Shorthair,Brown,6570,5,Small
Euthanasia,Suffering,Dog,Intact Male,1095,Labrador Retriever,Yellow,4745,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,1095,Pit Bull,Brown/White,5475,3,Large
Transfer,Partner,Cat,Intact Male,60,Domestic Shorthair,Blue/White,6205,5,Medium
Transfer,Partner,Cat,Neutered Male,120,Domestic Shorthair,Black/White,6205,5,Medium
Transfer,Partner,Cat,Intact Male,21,Domestic Shorthair,Brown Tabby,6205,5,Medium
Adoption,Unknown,Cat,Spayed Female,2555,Domestic Shorthair,Blue Tabby,6205,5,Medium
Transfer,Partner,Cat,Intact Male,60,Domestic Shorthair,Orange Tabby,6205,5,Medium
Transfer,Partner,Cat,Intact Female,60,Domestic Shorthair,Brown Tabby,6205,5,Medium
Transfer,SCRP,Cat,Intact Male,1460,Domestic Longhair,Black/White,6205,5,Medium
Adoption,Unknown,Cat,Neutered Male,730,Domestic Shorthair,Black/White,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,365,Beagle,Tricolor,5475,5,Small
Return_to_owner,Unknown,Cat,Spayed Female,3285,Domestic Shorthair,White/Black,6205,5,Medium
Transfer,Partner,Cat,Intact Female,21,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,150,German Shepherd,Black/Brown,4380,5,Medium to Large
Euthanasia,Aggressive,Dog,Intact Male,2190,Pit Bull,Chocolate/White,5475,3,Large
Transfer,SCRP,Cat,Intact Female,365,Domestic Shorthair,Tortie,6205,5,Medium
Adoption,Unknown,Cat,Spayed Female,90,Domestic Shorthair,Brown Tabby,6205,5,Medium
Transfer,Partner,Cat,Intact Female,21,Domestic Shorthair,Blue Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,730,Blue Lacy,Gray/White,5475,4,Medium to Large
Adoption,Unknown,Cat,Spayed Female,60,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Transfer,Partner,Cat,Intact Male,7,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Cat,Spayed Female,60,Domestic Shorthair,Calico,6205,5,Medium
Transfer,Partner,Dog,Intact Male,365,Chihuahua Shorthair,Tan,6570,5,Small
Return_to_owner,Unknown,Dog,Spayed Female,1460,Black Mouth Cur,Tan/Black,5840,4,Medium to Large
Adoption,Unknown,Dog,Neutered Male,730,Dachshund,Brown/White,5110,5,Small
Transfer,Partner,Cat,Intact Male,365,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Euthanasia,Suffering,Dog,Spayed Female,365,Yorkshire Terrier,Brown/Black,5840,5,Small
Transfer,Partner,Cat,Intact Female,30,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,730,Dachshund,Tan/White,5110,5,Small
Transfer,Partner,Cat,Unknown,14,Domestic Shorthair,Black,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,2190,Maltese,White,6570,5,Small
Transfer,Partner,Dog,Neutered Male,180,Pointer,Black/White,5475,5,Medium
Transfer,Partner,Dog,Intact Female,60,English Foxhound,Buff,4745,4,Large
Transfer,SCRP,Cat,Unknown,60,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,365,Chihuahua Shorthair,Red,6570,5,Small
Adoption,Unknown,Dog,Neutered Male,60,Vizsla,Brown,5110,5,Medium
Transfer,Partner,Dog,Neutered Male,730,Pit Bull,Brown Brindle/White,5475,3,Large
Adoption,Unknown,Dog,Spayed Female,1095,German Shepherd,White,4380,5,Medium to Large
Return_to_owner,Unknown,Cat,Intact Female,365,Domestic Shorthair,Black,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,1460,Yorkshire Terrier,Blue/Tan,5840,5,Small
Transfer,Partner,Dog,Spayed Female,730,Cardigan Welsh Corgi,Tan,5110,5,Medium
Adoption,Unknown,Cat,Spayed Female,90,Domestic Longhair,Brown Tabby,6205,5,Medium
Euthanasia,Suffering,Cat,Intact Female,365,Domestic Shorthair,Calico,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,60,Chow Chow,Black,5110,2,Medium
Transfer,SCRP,Cat,Spayed Female,730,Domestic Shorthair,Black/White,6205,5,Medium
Adoption,Foster,Dog,Neutered Male,365,Chihuahua Shorthair,White,6570,5,Small
Euthanasia,Suffering,Cat,Unknown,14,Domestic Shorthair,Blue Tabby,6205,5,Medium
Transfer,Partner,Cat,Unknown,28,Siamese,Seal Point,5475,5,Medium
Transfer,SCRP,Cat,Intact Male,730,Domestic Shorthair,Blue Tabby,6205,5,Medium
Euthanasia,Suffering,Dog,Neutered Male,365,Pit Bull,Brown Brindle,5475,3,Large
Adoption,Unknown,Dog,Neutered Male,365,Dachshund,Brown/White,5110,5,Small
Adoption,Foster,Cat,Neutered Male,60,Domestic Shorthair,Black,6205,5,Medium
Transfer,Partner,Cat,Intact Male,14,Domestic Shorthair,Black,6205,5,Medium
Transfer,Partner,Dog,Intact Female,90,Labrador Retriever,Black/White,4745,5,Medium
Adoption,Unknown,Cat,Spayed Female,90,Domestic Medium Hair,Calico,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,150,Plott Hound,Brown Brindle/White,5110,3,Medium
Adoption,Unknown,Dog,Spayed Female,1095,Boxer,Black,4380,4,Medium
Transfer,Partner,Dog,Spayed Female,2555,Lhasa Apso,White/Black,5475,5,Small
Euthanasia,Aggressive,Dog,Spayed Female,730,German Shepherd,Black/Tan,4380,5,Medium to Large
Adoption,Foster,Cat,Spayed Female,120,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,3285,Beagle,White/Brown,5475,5,Small
Transfer,Partner,Dog,Neutered Male,210,Border Collie,Black/White,5475,5,Medium
Adoption,Unknown,Cat,Neutered Male,60,Domestic Shorthair,Black/White,6205,5,Medium
Transfer,SCRP,Cat,Intact Male,1095,Domestic Shorthair,Black/White,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,1095,Border Terrier,Gray,5475,5,Small
Adoption,Unknown,Dog,Neutered Male,1825,Chihuahua Shorthair,Tan/White,6570,5,Small
Transfer,Partner,Dog,Neutered Male,1825,Boxer,Brown Brindle/White,4380,4,Medium
Transfer,Partner,Cat,Intact Female,14,Domestic Medium Hair,Blue,6205,5,Medium
Transfer,Partner,Cat,Unknown,14,Domestic Shorthair,Black,6205,5,Medium
Transfer,Partner,Cat,Spayed Female,1460,Domestic Shorthair,Torbie,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,1460,Cairn Terrier,Tan/White,5475,3,Small
Adoption,Unknown,Cat,Neutered Male,60,Domestic Shorthair,Brown Tabby,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,730,Chihuahua Shorthair,Black/Tan,6570,5,Small
Adoption,Unknown,Dog,Neutered Male,730,Dogo Argentino,White,4380,3,Large
Return_to_owner,Unknown,Dog,Neutered Male,3285,Dachshund,Black/Brown,5110,5,Small
Return_to_owner,Unknown,Dog,Neutered Male,1825,Beagle,Tricolor,5475,5,Small
Euthanasia,Aggressive,Dog,Neutered Male,365,Chihuahua Shorthair,Yellow Brindle/White,6570,5,Small
Adoption,Unknown,Dog,Spayed Female,730,Pit Bull,Fawn/White,5475,3,Large
Transfer,Partner,Cat,Intact Male,21,Domestic Shorthair,Brown Tabby,6205,5,Medium
Transfer,Partner,Dog,Intact Male,150,Pit Bull,White/Brown,5475,3,Large
Euthanasia,Suffering,Cat,Intact Male,2190,Domestic Shorthair,Orange Tabby,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,365,Chihuahua Shorthair,Tan,6570,5,Small
Transfer,Partner,Dog,Intact Male,90,Chihuahua Shorthair,Black/White,6570,5,Small
Transfer,Partner,Cat,Intact Female,30,Domestic Longhair,Calico,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,1095,Chihuahua Shorthair,Brown,6570,5,Small
Return_to_owner,Unknown,Dog,Neutered Male,1825,Dachshund,Black,5110,5,Small
Adoption,Unknown,Dog,Neutered Male,2920,Miniature Schnauzer,Black,5475,5,Small
Adoption,Offsite,Dog,Spayed Female,60,Labrador Retriever,Black/White,4745,5,Medium
Euthanasia,Suffering,Cat,Intact Female,2555,Domestic Shorthair,Tortie,6205,5,Medium
Adoption,Unknown,Cat,Intact Female,60,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,1825,Pit Bull,Black,5475,3,Large
Adoption,Unknown,Dog,Neutered Male,365,Pit Bull,White/Brown,5475,3,Large
Transfer,SCRP,Cat,Intact Male,90,Domestic Shorthair,Brown Tabby,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,730,Chihuahua Shorthair,Brown/White,6570,5,Small
Return_to_owner,Unknown,Dog,Spayed Female,3285,Labrador Retriever,Chocolate/White,4745,5,Medium
Adoption,Unknown,Dog,Spayed Female,1095,Pit Bull,Red/White,5475,3,Large
Return_to_owner,Unknown,Cat,Spayed Female,1095,Domestic Shorthair,Calico,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,365,Chihuahua Shorthair,Black/White,6570,5,Small
Transfer,Partner,Dog,Spayed Female,730,Chihuahua Shorthair,Black/Tan,6570,5,Small
Return_to_owner,Unknown,Dog,Spayed Female,365,Pit Bull,Brown Brindle,5475,3,Large
Transfer,Partner,Cat,Neutered Male,730,Siamese,Flame Point,5475,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,730,Tibetan Terrier,Brown,5475,5,Medium
Transfer,SCRP,Cat,Intact Female,730,Domestic Shorthair,Blue/White,6205,5,Medium
Transfer,SCRP,Cat,Unknown,90,Domestic Shorthair,Tortie,6205,5,Medium
Adoption,Foster,Dog,Spayed Female,30,Miniature Pinscher,Tricolor,5475,5,Small
Adoption,Unknown,Cat,Neutered Male,60,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Adoption,Offsite,Cat,Neutered Male,30,Domestic Medium Hair,Cream Tabby,6205,5,Medium
Transfer,Partner,Cat,Spayed Female,730,Domestic Medium Hair,Brown Tabby/White,6205,5,Medium
Adoption,Unknown,Cat,Spayed Female,60,Domestic Medium Hair,Calico,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,180,Labrador Retriever,Yellow,4745,5,Medium
Adoption,Unknown,Cat,Spayed Female,60,Domestic Shorthair,Brown Tabby,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,365,Dachshund,Tan,5110,5,Small
Transfer,Partner,Dog,Intact Female,180,Dachshund,Brown/White,5110,5,Small
Adoption,Unknown,Cat,Spayed Female,365,Domestic Shorthair,Black/White,6205,5,Medium
Transfer,Partner,Cat,Intact Male,21,Domestic Shorthair,Calico,6205,5,Medium
Adoption,Foster,Cat,Neutered Male,730,Domestic Shorthair,Brown Tabby,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,30,Blue Lacy,Blue/White,5475,4,Medium to Large
Transfer,Partner,Dog,Neutered Male,90,Rat Terrier,Tricolor,6570,5,Small
Return_to_owner,Unknown,Dog,Spayed Female,730,Dachshund Longhair,Brown,5110,5,Small
Transfer,Partner,Dog,Neutered Male,730,Pit Bull,Red,5475,3,Large
Adoption,Unknown,Dog,Neutered Male,730,Pit Bull,Brown/White,5475,3,Large
Adoption,Unknown,Cat,Spayed Female,120,Domestic Longhair,Calico,6205,5,Medium
Transfer,Partner,Dog,Intact Female,120,Dachshund,Red,5110,5,Small
