Lifespan Interval,Breed,AnimalType,Child Friendly,Grooming,Vocalization,Adaptability,isPurebred,Puppy Price Interval,Intelligence,Stranger Friendly,Lifespan,Shedding Level,isIntact,AgeuponOutcome Interval,Health Issues,Color,Hypoallergenic,AgeuponOutcome,Size,OutcomeType,isColorMix,Puppy Price,SexuponOutcome,Dog Friendly
2,Shetland Sheepdog,Dog,4,5,1,5,0,4,5,2,5110,3,0,2,3,Brown,0,365,2,Return_to_owner,1,900,0,4
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,2,1,Cream,0,365,2,Euthanasia,1,300,1,3
2,Pit Bull,Dog,2,1,3,5,0,2,3,2,5110,1,0,3,2,Blue,0,730,2,Adoption,1,600,0,1
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,1,1,Blue,0,21,2,Transfer,1,300,0,3
3,Lhasa Apso,Dog,5,5,5,5,0,2,3,3,5475,4,0,3,2,Tan,0,730,1,Transfer,0,600,0,5
3,Cairn Terrier,Dog,4,3,5,3,0,3,4,3,5475,3,1,1,2,Black,1,30,1,Transfer,1,850,1,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,1,1,Blue,0,21,2,Transfer,1,300,0,3
2,Pit Bull,Dog,2,1,3,5,0,2,3,2,5110,1,0,2,2,Red,0,150,2,Adoption,1,600,1,1
3,Cairn Terrier,Dog,4,3,5,3,1,3,4,3,5475,3,0,2,2,White,1,365,1,Adoption,0,850,1,3
2,Miniature Schnauzer,Dog,4,4,3,5,0,3,5,3,5110,1,0,3,3,Silver,1,730,1,Adoption,0,800,1,3
2,Pit Bull,Dog,2,1,3,5,0,2,3,2,5110,1,0,4,2,Brown,0,1460,2,Adoption,0,600,0,1
3,Yorkshire Terrier,Dog,1,5,5,5,0,3,5,3,5840,1,0,3,4,Black,1,730,1,Return_to_owner,1,800,0,2
1,Great Pyrenees,Dog,4,3,5,4,0,3,3,2,4380,4,0,2,5,White,0,365,4,Return_to_owner,1,800,0,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,1,1,Orange,0,90,2,Adoption,1,300,0,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,1,1,Brown,0,21,2,Transfer,1,300,0,3
