'Lifespan Interval',Breed,AnimalType,'Child Friendly',Grooming,Vocalization,'Puppy Price Interval','Shedding Level',isIntact,'AgeuponOutcome Interval','Health Issues',OutcomeType
2,'Shetland Sheepdog',Dog,4,5,1,4,3,0,2,3,Return_to_owner
4,Domestic,Cat,3,4,2,1,4,0,2,1,Euthanasia
2,'Pit Bull',Dog,2,1,3,2,1,0,3,2,Adoption
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
3,'Lhasa Apso',Dog,5,5,5,2,4,0,3,2,Transfer
3,'Cairn Terrier',Dog,4,3,5,3,3,1,1,2,Transfer
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
2,'Pit Bull',Dog,2,1,3,2,1,0,2,2,Adoption
3,'Cairn Terrier',Dog,4,3,5,3,3,0,2,2,Adoption
2,'Miniature Schnauzer',Dog,4,4,3,3,1,0,3,3,Adoption
2,'Pit Bull',Dog,2,1,3,2,1,0,4,2,Adoption
3,'Yorkshire Terrier',Dog,1,5,5,3,1,0,3,4,Return_to_owner
1,'Great Pyrenees',Dog,4,3,5,3,4,0,2,5,Return_to_owner
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
2,'Pit Bull',Dog,2,1,3,2,1,1,1,2,Transfer
4,Angora,Cat,4,2,2,2,2,1,3,2,Transfer
1,'Flat-Coated Retriever',Dog,4,1,3,4,3,0,2,5,Return_to_owner
3,'Australian Cattle Dog',Dog,5,1,2,2,3,1,1,3,Transfer
4,Domestic,Cat,3,4,2,1,4,0,2,1,Transfer
2,'Plott Hound',Dog,4,1,3,2,1,0,3,1,Adoption
1,'German Shepherd',Dog,5,2,3,4,5,0,1,4,Adoption
1,'German Shepherd',Dog,5,2,3,4,5,0,1,4,Return_to_owner
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
2,'American Staffordshire Terrier',Dog,4,1,2,4,1,0,2,3,Adoption
4,Chihuahua,Dog,1,1,5,3,1,0,4,4,Adoption
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
3,'Russian Blue',Cat,3,3,1,2,3,0,4,1,Return_to_owner
4,Domestic,Cat,3,4,2,1,4,0,3,1,Euthanasia
1,'Labrador Retriever',Dog,5,2,1,4,3,1,1,4,Transfer
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
3,'Collie Smooth',Dog,5,3,4,3,5,0,4,2,Return_to_owner
4,Chihuahua,Dog,1,1,5,3,1,0,3,4,Transfer
1,'Labrador Retriever',Dog,5,2,1,4,3,1,3,4,Euthanasia
2,'Pit Bull',Dog,2,1,3,2,1,0,3,2,Return_to_owner
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
4,Domestic,Cat,3,4,2,1,4,0,1,1,Transfer
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
4,Domestic,Cat,3,4,2,1,4,0,4,1,Adoption
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
4,Domestic,Cat,3,4,2,1,4,1,4,1,Transfer
4,Domestic,Cat,3,4,2,1,4,0,3,1,Adoption
3,Beagle,Dog,5,1,5,3,3,0,2,3,Return_to_owner
4,Domestic,Cat,3,4,2,1,4,0,4,1,Return_to_owner
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
1,'German Shepherd',Dog,5,2,3,4,5,0,2,4,Adoption
2,'Pit Bull',Dog,2,1,3,2,1,1,4,2,Euthanasia
4,Domestic,Cat,3,4,2,1,4,1,2,1,Transfer
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
3,'Blue Lacy',Dog,3,1,4,1,3,0,3,3,Adoption
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
4,Chihuahua,Dog,1,1,5,3,1,1,2,4,Transfer
1,'Black and Tan Coonhound',Dog,5,1,5,2,5,0,4,3,Return_to_owner
2,Dachshund,Dog,2,2,4,2,3,0,3,3,Adoption
4,Domestic,Cat,3,4,2,1,4,1,2,1,Transfer
3,'Yorkshire Terrier',Dog,1,5,5,3,1,0,2,4,Euthanasia
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
2,Dachshund,Dog,2,2,4,2,3,0,3,3,Adoption
4,Maltese,Dog,4,3,5,3,1,0,4,3,Return_to_owner
3,Pointer,Dog,5,1,3,2,1,0,2,1,Transfer
1,'English Foxhound',Dog,5,1,3,4,3,1,1,1,Transfer
4,Chihuahua,Dog,1,1,5,3,1,0,2,4,Adoption
2,Vizsla,Dog,4,1,2,4,2,0,1,3,Adoption
2,'Pit Bull',Dog,2,1,3,2,1,0,3,2,Transfer
1,'German Shepherd',Dog,5,2,3,4,5,0,3,4,Adoption
