OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,Lifespan,Adaptability,Size
Return_to_owner,Dog,Neutered Male,12.166666666666666,Shetland Sheepdog,Brown/White,170.33333333333334,5,Medium
Euthanasia,Cat,Spayed Female,12.166666666666666,Domestic Shorthair,Cream Tabby,206.83333333333334,5,Medium
Adoption,Dog,Neutered Male,24.333333333333332,Pit Bull,Blue/White,182.5,3,Large
Transfer,Cat,Intact Male,0.7,Domestic Shorthair,Blue Cream,206.83333333333334,5,Medium
Transfer,Dog,Neutered Male,24.333333333333332,Lhasa Apso,Tan,182.5,5,Small
Transfer,Dog,Intact Female,1.0,Cairn Terrier,Black/Tan,182.5,3,Small
Transfer,Cat,Intact Male,0.7,Domestic Shorthair,Blue Tabby,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,5.0,Pit Bull,Red/White,182.5,3,Large
Adoption,Dog,Spayed Female,12.166666666666666,Cairn Terrier,White,182.5,3,Small
Adoption,Dog,Spayed Female,24.333333333333332,Miniature Schnauzer,Silver,182.5,5,Small
Adoption,Dog,Neutered Male,48.666666666666664,Pit Bull,Brown,182.5,3,Large
Return_to_owner,Dog,Neutered Male,24.333333333333332,Yorkshire Terrier,Black/Red,194.66666666666666,5,Small
Return_to_owner,Dog,Neutered Male,12.166666666666666,Great Pyrenees,White/Cream,146.0,4,Giant
Adoption,Cat,Neutered Male,3.0,Domestic Shorthair,Orange Tabby/White,206.83333333333334,5,Medium
Transfer,Cat,Intact Male,0.7,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Transfer,Dog,Intact Female,0.4666666666666667,Pit Bull,Brown/White,182.5,3,Large
Transfer,Cat,Intact Female,24.333333333333332,Angora,White,121.66666666666667,3,Small to Medium
Return_to_owner,Dog,Neutered Male,12.166666666666666,Flat Coat Retriever,Black,158.16666666666666,5,Medium to Large
Transfer,Dog,Intact Male,2.0,Australian Cattle Dog,Black/White,182.5,3,Medium
Transfer,Cat,Spayed Female,12.166666666666666,Domestic Shorthair,White,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,24.333333333333332,Plott Hound,Brown Brindle/White,170.33333333333334,3,Medium
Adoption,Dog,Neutered Male,1.0,German Shepherd,Brown/White,146.0,5,Medium to Large
Return_to_owner,Dog,Neutered Male,2.0,German Shepherd,Black/Brown,146.0,5,Medium to Large
Transfer,Cat,Intact Female,1.0,Domestic Shorthair,Orange Tabby,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,6.0,American Staffordshire Terrier,Chocolate/White,170.33333333333334,3,Medium
Adoption,Dog,Spayed Female,60.833333333333336,Chihuahua Shorthair,White/Tan,219.0,5,Small
Adoption,Cat,Spayed Female,2.0,Domestic Shorthair,Cream Tabby/White,206.83333333333334,5,Medium
Return_to_owner,Cat,Neutered Male,85.16666666666667,Russian Blue,Blue,194.66666666666666,3,Medium
Euthanasia,Cat,Spayed Female,36.5,Domestic Shorthair,Calico,206.83333333333334,5,Medium
Transfer,Dog,Intact Male,4.0,Labrador Retriever,Black/White,158.16666666666666,5,Medium
Adoption,Cat,Spayed Female,2.0,Domestic Shorthair,Torbie,206.83333333333334,5,Medium
Return_to_owner,Dog,Neutered Male,60.833333333333336,Collie Smooth,Brown/Black,182.5,4,Large
Transfer,Dog,Neutered Male,36.5,Chihuahua Shorthair,Brown,219.0,5,Small
Euthanasia,Dog,Intact Male,36.5,Labrador Retriever,Yellow,158.16666666666666,5,Medium
Return_to_owner,Dog,Neutered Male,36.5,Pit Bull,Brown/White,182.5,3,Large
Transfer,Cat,Intact Male,2.0,Domestic Shorthair,Blue/White,206.83333333333334,5,Medium
Transfer,Cat,Neutered Male,4.0,Domestic Shorthair,Black/White,206.83333333333334,5,Medium
Transfer,Cat,Intact Male,0.7,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Adoption,Cat,Spayed Female,85.16666666666667,Domestic Shorthair,Blue Tabby,206.83333333333334,5,Medium
Transfer,Cat,Intact Male,2.0,Domestic Shorthair,Orange Tabby,206.83333333333334,5,Medium
Transfer,Cat,Intact Female,2.0,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Transfer,Cat,Intact Male,48.666666666666664,Domestic Longhair,Black/White,206.83333333333334,5,Medium
Adoption,Cat,Neutered Male,24.333333333333332,Domestic Shorthair,Black/White,206.83333333333334,5,Medium
Return_to_owner,Dog,Neutered Male,12.166666666666666,Beagle,Tricolor,182.5,5,Small
Return_to_owner,Cat,Spayed Female,109.5,Domestic Shorthair,White/Black,206.83333333333334,5,Medium
Transfer,Cat,Intact Female,0.7,Domestic Shorthair,Black,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,5.0,German Shepherd,Black/Brown,146.0,5,Medium to Large
Euthanasia,Dog,Intact Male,73.0,Pit Bull,Chocolate/White,182.5,3,Large
Transfer,Cat,Intact Female,12.166666666666666,Domestic Shorthair,Tortie,206.83333333333334,5,Medium
Adoption,Cat,Spayed Female,3.0,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Transfer,Cat,Intact Female,0.7,Domestic Shorthair,Blue Tabby/White,206.83333333333334,5,Medium
Adoption,Dog,Neutered Male,24.333333333333332,Blue Lacy,Gray/White,182.5,4,Medium to Large
Adoption,Cat,Spayed Female,2.0,Domestic Shorthair,Orange Tabby/White,206.83333333333334,5,Medium
Transfer,Cat,Intact Male,0.23333333333333334,Domestic Shorthair,Black,206.83333333333334,5,Medium
Adoption,Cat,Spayed Female,2.0,Domestic Shorthair,Calico,206.83333333333334,5,Medium
Transfer,Dog,Intact Male,12.166666666666666,Chihuahua Shorthair,Tan,219.0,5,Small
Return_to_owner,Dog,Spayed Female,48.666666666666664,Black Mouth Cur,Tan/Black,194.66666666666666,4,Medium to Large
Adoption,Dog,Neutered Male,24.333333333333332,Dachshund,Brown/White,170.33333333333334,5,Small
Transfer,Cat,Intact Male,12.166666666666666,Domestic Shorthair,Orange Tabby/White,206.83333333333334,5,Medium
Euthanasia,Dog,Spayed Female,12.166666666666666,Yorkshire Terrier,Brown/Black,194.66666666666666,5,Small
Transfer,Cat,Intact Female,1.0,Domestic Shorthair,Black,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,24.333333333333332,Dachshund,Tan/White,170.33333333333334,5,Small
Return_to_owner,Dog,Spayed Female,73.0,Maltese,White,219.0,5,Small
Transfer,Dog,Neutered Male,6.0,Pointer,Black/White,182.5,5,Medium
Transfer,Dog,Intact Female,2.0,English Foxhound,Buff,158.16666666666666,4,Large
Adoption,Dog,Spayed Female,12.166666666666666,Chihuahua Shorthair,Red,219.0,5,Small
Adoption,Dog,Neutered Male,2.0,Vizsla,Brown,170.33333333333334,5,Medium
Transfer,Dog,Neutered Male,24.333333333333332,Pit Bull,Brown Brindle/White,182.5,3,Large
Adoption,Dog,Spayed Female,36.5,German Shepherd,White,146.0,5,Medium to Large
Return_to_owner,Cat,Intact Female,12.166666666666666,Domestic Shorthair,Black,206.83333333333334,5,Medium
Return_to_owner,Dog,Spayed Female,48.666666666666664,Yorkshire Terrier,Blue/Tan,194.66666666666666,5,Small
Transfer,Dog,Spayed Female,24.333333333333332,Cardigan Welsh Corgi,Tan,170.33333333333334,5,Medium
Adoption,Cat,Spayed Female,3.0,Domestic Longhair,Brown Tabby,206.83333333333334,5,Medium
Euthanasia,Cat,Intact Female,12.166666666666666,Domestic Shorthair,Calico,206.83333333333334,5,Medium
Adoption,Dog,Neutered Male,2.0,Chow Chow,Black,170.33333333333334,2,Medium
Transfer,Cat,Spayed Female,24.333333333333332,Domestic Shorthair,Black/White,206.83333333333334,5,Medium
Adoption,Dog,Neutered Male,12.166666666666666,Chihuahua Shorthair,White,219.0,5,Small
Transfer,Cat,Intact Male,24.333333333333332,Domestic Shorthair,Blue Tabby,206.83333333333334,5,Medium
Euthanasia,Dog,Neutered Male,12.166666666666666,Pit Bull,Brown Brindle,182.5,3,Large
Adoption,Dog,Neutered Male,12.166666666666666,Dachshund,Brown/White,170.33333333333334,5,Small
Adoption,Cat,Neutered Male,2.0,Domestic Shorthair,Black,206.83333333333334,5,Medium
Transfer,Cat,Intact Male,0.4666666666666667,Domestic Shorthair,Black,206.83333333333334,5,Medium
Transfer,Dog,Intact Female,3.0,Labrador Retriever,Black/White,158.16666666666666,5,Medium
Adoption,Cat,Spayed Female,3.0,Domestic Medium Hair,Calico,206.83333333333334,5,Medium
Adoption,Dog,Neutered Male,5.0,Plott Hound,Brown Brindle/White,170.33333333333334,3,Medium
Adoption,Dog,Spayed Female,36.5,Boxer,Black,146.0,4,Medium
Transfer,Dog,Spayed Female,85.16666666666667,Lhasa Apso,White/Black,182.5,5,Small
Euthanasia,Dog,Spayed Female,24.333333333333332,German Shepherd,Black/Tan,146.0,5,Medium to Large
Adoption,Cat,Spayed Female,4.0,Domestic Shorthair,Black,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,109.5,Beagle,White/Brown,182.5,5,Small
Transfer,Dog,Neutered Male,7.0,Border Collie,Black/White,182.5,5,Medium
Adoption,Cat,Neutered Male,2.0,Domestic Shorthair,Black/White,206.83333333333334,5,Medium
Transfer,Cat,Intact Male,36.5,Domestic Shorthair,Black/White,206.83333333333334,5,Medium
Adoption,Dog,Neutered Male,36.5,Border Terrier,Gray,182.5,5,Small
Adoption,Dog,Neutered Male,60.833333333333336,Chihuahua Shorthair,Tan/White,219.0,5,Small
Transfer,Dog,Neutered Male,60.833333333333336,Boxer,Brown Brindle/White,146.0,4,Medium
Transfer,Cat,Intact Female,0.4666666666666667,Domestic Medium Hair,Blue,206.83333333333334,5,Medium
Transfer,Cat,Spayed Female,48.666666666666664,Domestic Shorthair,Torbie,206.83333333333334,5,Medium
Return_to_owner,Dog,Neutered Male,48.666666666666664,Cairn Terrier,Tan/White,182.5,3,Small
Adoption,Cat,Neutered Male,2.0,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Return_to_owner,Dog,Spayed Female,24.333333333333332,Chihuahua Shorthair,Black/Tan,219.0,5,Small
Adoption,Dog,Neutered Male,24.333333333333332,Dogo Argentino,White,146.0,3,Large
Return_to_owner,Dog,Neutered Male,109.5,Dachshund,Black/Brown,170.33333333333334,5,Small
Return_to_owner,Dog,Neutered Male,60.833333333333336,Beagle,Tricolor,182.5,5,Small
Euthanasia,Dog,Neutered Male,12.166666666666666,Chihuahua Shorthair,Yellow Brindle/White,219.0,5,Small
Adoption,Dog,Spayed Female,24.333333333333332,Pit Bull,Fawn/White,182.5,3,Large
Transfer,Cat,Intact Male,0.7,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Transfer,Dog,Intact Male,5.0,Pit Bull,White/Brown,182.5,3,Large
Euthanasia,Cat,Intact Male,73.0,Domestic Shorthair,Orange Tabby,206.83333333333334,5,Medium
