Puppy Price,Stranger Friendly,AnimalType,Playfulness,Breed_definition,Hypoallergenic,OutcomeType,Color Mix,Grooming,Barking Tendencies,Litter Size,Child Friendly,AgeuponOutcome,Dog Friendly,Lifespan,Cat Friendly,Shedding Level,Exercise Needs,Health Issues,Breed,Intelligence,Size,Apartment Friendly,Watchdog Ability,SexuponOutcome,SexSituationUponOutcome,Trainability,Color,Adaptability
900,2,Dog,3,Purebred,No,Return_to_owner,Yes,5,1,5,4,365,4,12-14 years,5,3,3,3,Shetland Sheepdog,5,2,2,4,Male,Neutered,3,Brown,5
600,2,Dog,3,Purebreed,No,Adoption,Yes,1,3,8,2,730,1,12 - 14 years,1,1,5,2,Pit Bull,3,2,1,5,Male,Neutered,2,Blue,5
600,3,Dog,4,Purebred,No,Transfer,No,5,5,5,5,730,5,12-15 years,5,4,2,2,Lhasa Apso,3,0,5,3,Male,Neutered,2,Tan,5
850,3,Dog,4,Purebred,Yes,Transfer,Yes,3,5,6,4,30,3,12-15 years,3,3,4,2,Cairn Terrier,4,0,3,3,Female,Intact,4,Black,3
600,2,Dog,3,Purebreed,No,Adoption,Yes,1,3,8,2,150,1,12 - 14 years,1,1,5,2,Pit Bull,3,2,1,5,Female,Spayed,2,Red,5
850,3,Dog,4,Purebred,Yes,Adoption,No,3,5,6,4,365,3,12-15 years,3,3,4,2,Cairn Terrier,4,0,3,3,Female,Spayed,4,White,3
800,3,Dog,3,Purebred,Yes,Adoption,No,4,3,4,4,730,3,12-14 years,3,1,3,3,Miniature Schnauzer,5,0,3,5,Female,Spayed,5,Silver,5
600,2,Dog,3,Purebreed,No,Adoption,No,1,3,8,2,1460,1,12 - 14 years,1,1,5,2,Pit Bull,3,2,1,5,Male,Neutered,2,Brown,5
800,3,Dog,3,Purebred,Yes,Return_to_owner,Yes,5,5,5,1,730,2,12-16 years,4,1,1,4,Yorkshire Terrier,5,0,5,4,Male,Neutered,3,Black,5
800,2,Dog,2,Purebred,No,Return_to_owner,Yes,3,5,8,4,365,3,10-12 years,4,4,2,5,Great Pyrenees,3,6,2,5,Male,Neutered,2,White,4
600,2,Dog,3,Purebreed,No,Transfer,Yes,1,3,8,2,14,1,12 - 14 years,1,1,5,2,Pit Bull,3,2,1,5,Female,Intact,2,Brown,5
