AnimalType,Breed,Lifespan,Adaptability,Size
Dog,Shetland Sheepdog,5110,5,medium
Dog,Pit Bull,,,
Dog,Lhasa Apso,5475,5,Small
Dog,Cairn Terrier,5475,3,Small
Dog,American Pit Bull Terrier,,,
Dog,Miniature Schnauzer,,,
Dog,Yorkshire Terrier,5840,5,Small
Dog,Great Pyrenees,4380,4,Giant
Dog,Flat Coat Retriever,,,
Dog,Queensland Heeler,,,
Dog,Plott Hound,5110,3,Medium
Dog,German Shepherd,4380,5,Medium to Large-sized
Dog,American Staffordshire Terrier,5110,3,Medium
Dog,Chihuahua Shorthair,,,
Dog,Labrador Retriever,4745,5,Medium
Dog,Collie Smooth,,,
Dog,Beagle,5475,5,Small
Dog,Blue Lacy,,,
Dog,Black Mouth Cur,,,
Dog,Dachshund,5110,5,Small
Dog,Maltese,6570,5,Small
Dog,Pointer,5475,5,Medium
Dog,English Foxhound,4745,4,Large
Dog,Vizsla,5110,5,Medium
Dog,Cardigan Welsh Corgi,5110,5,Medium
Dog,Chow Chow,5110,2,Medium
Dog,Boxer,4380,4,Medium
Dog,Border Collie,5475,5,Medium
Dog,Border Terrier,5475,5,Small
Dog,Dogo Argentino,,,
Dog,Tibetan Terrier,5475,5,Medium
Dog,Miniature Pinscher,5475,5,Small
Dog,Rat Terrier,6570,5,Small
Dog,Dachshund Longhair,,,
Dog,Siberian Husky,5110,5,Medium
Dog,Australian Cattle Dog,5475,3,Medium
Dog,Catahoula,,,
Dog,Miniature Poodle,,,
Dog,Jack Russell Terrier,5840,5,Small
Dog,Doberman Pinsch,4380,5,Medium
Dog,Whippet,5475,5,Medium
Dog,Australian Shepherd,5475,5,Medium
Dog,English Pointer,,,
Dog,Great Dane,,,
Dog,Chesa Bay Retr,,,
Dog,Basset Hound,5475,5,Medium
Dog,Airedale Terrier,4745,5,Medium
Dog,Cocker Spaniel,,,
Dog,Chihuahua Longhair,,,
Dog,Rottweiler,365,3,Medium to Large
Dog,Shih Tzu,5110,5,Small
Dog,Anatol Shepherd,,,
Dog,Chinese Sharpei,,,
Dog,Akita,4380,5,Large
Dog,American Bulldog,,,
Dog,Bernese Mountain Dog,,,
Dog,English Bulldog,,,
Dog,Dachshund Wirehair,,,
Dog,Black and Tan Coonhound,4380,5,Large
Dog,Norfolk Terrier,5475,5,Small
Dog,Scottish Terrier,4745,3,Small
Dog,Treeing Walker Coonhound,4745,3,Medium
Dog,Rhod Ridgeback,,,
Dog,Harrier,4380,3,Medium
Dog,Australian Kelpie,,,
Dog,Mexican Hairless,,,
Dog,Redbone Coonhound,5110,5,Medium
Dog,Afghan Hound,5110,5,large
