AnimalType,Breed,Lifespan,Adaptability,Size
Cat,Domestic Shorthair,,,
Cat,Angora,,,
Cat,Russian Blue,5840,3,Medium
Cat,Domestic Longhair,,,
Cat,Siamese,5475,5,Medium
Cat,Domestic Medium Hair,,,
Cat,Manx,5110,5,Medium to Large
Cat,Exotic Shorthair,5475,5,Medium
Cat,Devon Rex,5475,5,Medium
Cat,Snowshoe,6935,5,Medium
Cat,Maine Coon,5475,5,Largest
Cat,Burmese,5840,5,Medium
Cat,Bengal,5840,5,Medium to Large
Cat,American Shorthair,6205,5,Medium to Large
Cat,Himalayan,1825,5,Medium to Large
Cat,Ragdoll,6205,5,Largest
Cat,Bombay,5840,5,Medium
Cat,Persian,5475,5,Medium to Large
Cat,Cornish Rex,5110,5,Medium
Cat,Balinese,5475,5,Medium
Cat,Javanese,,,
Cat,British Shorthair,6205,5,Largest
Cat,Japanese Bobtail,5840,5,Medium
Cat,Pixiebob Shorthair,,,
Cat,Tonkinese,5840,5,Medium
Cat,Sphynx,5110,5,Medium
Cat,Ocicat,5110,5,Medium to Large
Cat,Abyssinian,5475,5,Medium
Cat,Munchkin Longhair,,,
Cat,Turkish Van,6205,5,Medium to Large
Cat,Norwegian Forest Cat,5840,5,Large
Cat,Cymric,1460,5,Medium to Large
Cat,Havana Brown,5475,5,Medium
